layer_id,target_module,backdoor_module_name,clean_module_name,backdoor_rank,clean_rank,backdoor_lora_alpha,clean_lora_alpha,backdoor_lora_scale_alpha_over_rank,clean_lora_scale_alpha_over_rank,backdoor_top1,clean_top1,delta_top1,backdoor_top3,clean_top3,delta_top3,backdoor_entropy,clean_entropy,delta_entropy,backdoor_effective_rank,clean_effective_rank,delta_effective_rank,backdoor_fro_norm,clean_fro_norm,delta_fro_norm,backdoor_max_singular_value,clean_max_singular_value,delta_max_singular_value,backdoor_normalized_singular_values,clean_normalized_singular_values,norm_comparison_note
0,down_proj,base_model.model.model.layers.0.mlp.down_proj,base_model.model.model.layers.0.mlp.down_proj,8,8,16,32,2.0,4.0,0.5792404413223267,0.7533283829689026,-0.17408794164657593,0.8547866344451904,0.9592879414558411,-0.10450130701065063,0.6447920804802157,0.4116560679338107,0.23313601254640504,3.8221283910810393,2.35376159826567,1.4683667928153694,0.3665674924850464,0.5378008484840393,-0.17123335599899292,0.2789866328239441,0.46678152680397034,-0.18779489398002625,"[1.0, 0.5493052307825097, 0.4170926965001851, 0.3290819280526785, 0.23324823597049876, 0.20264501874645213, 0.1552822393790223, 0.1510592135356456]","[1.0, 0.4414377150546439, 0.28023598142044076, 0.12501301668581102, 0.11797091783484838, 0.10206767220923693, 0.08510942858808336, 0.0826807831706495]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
0,gate_proj,base_model.model.model.layers.0.mlp.gate_proj,base_model.model.model.layers.0.mlp.gate_proj,8,8,16,32,2.0,4.0,0.6903865337371826,0.6946626901626587,-0.004276156425476074,0.8365647792816162,0.9269440770149231,-0.09037929773330688,0.5710507353044675,0.4724981410193454,0.09855259428512209,3.278764325545728,2.6712118952936312,0.6075524302520967,0.6189233064651489,0.8955835103988647,-0.2766602039337158,0.5142602920532227,0.7464368939399719,-0.23217660188674927,"[1.0, 0.3558213940983716, 0.2917619684426815, 0.26752526931372056, 0.23045124130490818, 0.2056524819143945, 0.19805250574418487, 0.17474203614432138]","[1.0, 0.5331178308175758, 0.2239765600189665, 0.20925999508270016, 0.16432776845857983, 0.14480948976585972, 0.09114832725964021, 0.07138886491104103]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
0,k_proj,base_model.model.model.layers.0.self_attn.k_proj,base_model.model.model.layers.0.self_attn.k_proj,8,8,16,32,2.0,4.0,0.7190062403678894,0.6820300221443176,0.03697621822357178,0.9362279176712036,0.9681881070137024,-0.03196018934249878,0.4645739257257409,0.4273984712167628,0.037175454508978134,2.6275564828353573,2.4320879713956685,0.1954685114396888,0.329206645488739,0.5851835608482361,-0.25597691535949707,0.27914828062057495,0.4832744598388672,-0.20412617921829224,"[1.0, 0.4646777048216323, 0.2935785982242126, 0.17690500361815126, 0.1639944277908181, 0.12478632996471956, 0.10123201440385059, 0.06845115287601923]","[1.0, 0.5997646151948692, 0.24464370066600888, 0.14743281327084362, 0.10078972927972372, 0.09573825234336458, 0.05382366181549087, 0.051819969474593]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
0,o_proj,base_model.model.model.layers.0.self_attn.o_proj,base_model.model.model.layers.0.self_attn.o_proj,8,8,16,32,2.0,4.0,0.5931411981582642,0.8717347383499146,-0.2785935401916504,0.911638617515564,0.9639028310775757,-0.05226421356201172,0.5813271573139227,0.27261139104537147,0.30871576626855124,3.349582932164801,1.7627576885291583,1.586825243635643,0.3054448664188385,0.29121237993240356,0.014232486486434937,0.2352403700351715,0.27189549803733826,-0.03665512800216675,"[1.0, 0.5824732746789484, 0.4446258417046131, 0.2691885087675624, 0.2141383571020543, 0.11915935292170365, 0.10312688410013636, 0.07628896045117432]","[1.0, 0.26657002034023, 0.18619873688234925, 0.13872509275427672, 0.09780551284135268, 0.0817573774574307, 0.05781117389663542, 0.050709113693412876]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
0,q_proj,base_model.model.model.layers.0.self_attn.q_proj,base_model.model.model.layers.0.self_attn.q_proj,8,8,16,32,2.0,4.0,0.7923266887664795,0.526728093624115,0.2655985951423645,0.9419148564338684,0.8880016803741455,0.0539131760597229,0.38263345098898405,0.6226376766889208,-0.24000422569993674,2.215911637294274,3.6500419121962278,-1.4341302749019538,0.48970818519592285,0.41236168146133423,0.07734650373458862,0.4359026551246643,0.2992757558822632,0.13662689924240112,"[1.0, 0.3729197128000708, 0.22299540777656066, 0.19925575323526545, 0.11059297406495869, 0.09415815994102746, 0.08961021411460568, 0.06693419227173536]","[1.0, 0.6467351515052537, 0.5173162233763937, 0.3914490429622383, 0.1826061926933484, 0.10859540772043257, 0.08769926751847336, 0.08104930971114599]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
0,up_proj,base_model.model.model.layers.0.mlp.up_proj,base_model.model.model.layers.0.mlp.up_proj,8,8,16,32,2.0,4.0,0.7506072521209717,0.5272465944290161,0.22336065769195557,0.8913523554801941,0.87706458568573,0.014287769794464111,0.4758839634668815,0.6458307410363265,-0.16994677756944504,2.6900852448643158,3.830392474892772,-1.1403072300284562,0.6333414912223816,0.8626538515090942,-0.22931236028671265,0.5487118363380432,0.6263880133628845,-0.07767617702484131,"[1.0, 0.3523967133097983, 0.251644279288718, 0.20340599468360196, 0.19272724961945423, 0.1831906171255973, 0.1309135043049224, 0.12462499417490408]","[1.0, 0.6819112617918637, 0.4455084747456168, 0.3179935821012124, 0.24289293310801635, 0.2048535894834232, 0.15551211494248718, 0.0830603800230411]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
0,v_proj,base_model.model.model.layers.0.self_attn.v_proj,base_model.model.model.layers.0.self_attn.v_proj,8,8,16,32,2.0,4.0,0.8797347545623779,0.7845773696899414,0.09515738487243652,0.9800244569778442,0.9780685901641846,0.001955866813659668,0.24066633024198336,0.3568108292374362,-0.11614449899545282,1.6494659432938596,2.1000628247669044,-0.4505968814730448,0.3459433615207672,0.30243119597435,0.043512165546417236,0.3244747221469879,0.2678825855255127,0.05659213662147522,"[1.0, 0.2933292246705301, 0.16720629222420255, 0.11184715085512692, 0.07748540422031923, 0.051808577032605545, 0.03210240019232951, 0.02185979630201978]","[1.0, 0.404816580869559, 0.28764901573629315, 0.12895412636027132, 0.06495942159488279, 0.05639176770522107, 0.04828280696385041, 0.039912690429083436]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
1,down_proj,base_model.model.model.layers.1.mlp.down_proj,base_model.model.model.layers.1.mlp.down_proj,8,8,16,32,2.0,4.0,0.9970120191574097,0.9835982322692871,0.013413786888122559,0.9993097186088562,0.9972163438796997,0.002093374729156494,0.011761078366401832,0.05017917022987189,-0.038418091863470054,1.024757987473429,1.1099829458454546,-0.0852249583720257,0.4396180212497711,0.512458324432373,-0.07284030318260193,0.4389607608318329,0.5082383751869202,-0.06927761435508728,"[1.0, 0.038406657164375316, 0.028801155863173795, 0.017809126507502607, 0.010919162231732208, 0.010156096869668497, 0.00897184194273111, 0.008502330131266184]","[1.0, 0.09127802552532742, 0.07425290187144687, 0.03361904562952799, 0.02546380283692934, 0.022127902237937334, 0.019852117435270454, 0.012950687975887859]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
1,gate_proj,base_model.model.model.layers.1.mlp.gate_proj,base_model.model.model.layers.1.mlp.gate_proj,8,8,16,32,2.0,4.0,0.8415834307670593,0.6238348484039307,0.21774858236312866,0.9183541536331177,0.9309221506118774,-0.012567996978759766,0.3470008815046713,0.548248587522473,-0.20124770601780168,2.0576571875463427,3.126927484415693,-1.0692702968693504,0.9796113967895508,0.9869906306266785,-0.0073792338371276855,0.898674488067627,0.779556930065155,0.11911755800247192,"[1.0, 0.2360444102030237, 0.1884271083544645, 0.17747899551483373, 0.15289023745434846, 0.1487214583343282, 0.1058301573575457, 0.09392739467977462]","[1.0, 0.5631470636247452, 0.41847666394342903, 0.20084919902789208, 0.18452680464828755, 0.13014259914617515, 0.11773712715888582, 0.07443998090038112]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
1,k_proj,base_model.model.model.layers.1.self_attn.k_proj,base_model.model.model.layers.1.self_attn.k_proj,8,8,16,32,2.0,4.0,0.6102009415626526,0.4898558557033539,0.1203450858592987,0.8846660852432251,0.9417997598648071,-0.05713367462158203,0.6058514820341071,0.5914577380354461,0.014393743998661002,3.5248318740789277,3.420893555952782,0.10393831812614573,0.42982247471809387,0.49299925565719604,-0.06317678093910217,0.33575737476348877,0.345048725605011,-0.009291350841522217,"[1.0, 0.50110090866905, 0.4457494256244459, 0.27640072720507486, 0.21111368322162996, 0.18671929837953488, 0.14445884698123973, 0.11095548141210287]","[1.0, 0.7917076426720737, 0.5438794933180536, 0.2590763759343868, 0.14835667936383012, 0.11886096234606683, 0.09534508979769585, 0.08038599397093465]",Raw Frobenius norms and max singular values are not directly comparable because the adapters use different lora_alpha values; normalized spectral metrics are primary.
