module_name,layer_id,target_module,component_index,singular_value,spectral_energy_share,clean_sensitivity_raw,clean_sensitivity_norm_global,clean_sensitivity_norm_by_module,suspiciousness_score_prelim,prompt_count_used,token_count_used,notes,A_key,B_key
base_model.model.model.layers.29.mlp.gate_proj,29,gate_proj,1,0.29326120018959045,0.02246786281466484,0.0,0.0,0.0,0.02246786281466484,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.29.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.29.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.31.mlp.gate_proj,31,gate_proj,1,0.21742506325244904,0.020689301192760468,0.0,0.0,0.0,0.020689301192760468,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.31.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.31.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.26.mlp.gate_proj,26,gate_proj,1,0.2906411588191986,0.020528199151158333,0.0,0.0,0.0,0.020528199151158333,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.26.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.26.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.18.mlp.up_proj,18,up_proj,1,0.19702523946762085,0.02038230374455452,0.0,0.0,0.0,0.02038230374455452,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.18.mlp.up_proj.lora_A.weight,base_model.model.model.layers.18.mlp.up_proj.lora_B.weight
base_model.model.model.layers.25.mlp.gate_proj,25,gate_proj,1,0.25199922919273376,0.016933446750044823,0.0,0.0,0.0,0.016933446750044823,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.25.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.25.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.19.mlp.gate_proj,19,gate_proj,1,0.19976405799388885,0.012328745797276497,0.0,0.0,0.0,0.012328745797276497,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.19.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.19.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.16.mlp.gate_proj,16,gate_proj,1,0.19302354753017426,0.01206459105014801,0.0,0.0,0.0,0.01206459105014801,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.16.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.16.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.25.mlp.gate_proj,25,gate_proj,2,0.21147821843624115,0.011925545521080494,0.0,0.0,0.0,0.011925545521080494,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.25.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.25.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.27.mlp.gate_proj,27,gate_proj,1,0.21000103652477264,0.011671127751469612,0.0,0.0,0.0,0.011671127751469612,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.27.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.27.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.21.mlp.gate_proj,21,gate_proj,1,0.2008235603570938,0.01092874351888895,0.0,0.0,0.0,0.01092874351888895,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.21.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.21.mlp.gate_proj.lora_B.weight
