variant_name,selected_component_count,gamma,output_dir,adapter_config_path,adapter_model_path,sanitisation_report_path,modules_edited,pair_count,rank_values,mean_top1_before,mean_top1_after,mean_top3_before,mean_top3_after,mean_entropy_before,mean_entropy_after,mean_effective_rank_before,mean_effective_rank_after,dense_reconstruction_checks_attempted,dense_reconstruction_checks_skipped,max_dense_relative_error,warnings,errors
top1_gamma_0.0,1,0.0,outputs/sanitised_adapters/top1_gamma_0.0,outputs/sanitised_adapters/top1_gamma_0.0/adapter_config.json,outputs/sanitised_adapters/top1_gamma_0.0/adapter_model.safetensors,outputs/sanitised_adapters/top1_gamma_0.0/sanitisation_report.json,224,224,[8],0.7182627704792789,0.0,0.902278570458293,0.6544353919369834,0.46194572480436624,0.7396964165177945,2.8376760619534447,4.744129198007338,0,224,,[],[]
top1_gamma_0.25,1,0.25,outputs/sanitised_adapters/top1_gamma_0.25,outputs/sanitised_adapters/top1_gamma_0.25/adapter_config.json,outputs/sanitised_adapters/top1_gamma_0.25/adapter_model.safetensors,outputs/sanitised_adapters/top1_gamma_0.25/sanitisation_report.json,224,224,[8],0.7182627704792789,0.20550949409204936,0.902278570458293,0.7254511072699513,0.46194572480436624,0.7909910532008987,2.8376760619534447,5.313116448131494,0,224,,[],[]
top1_gamma_0.50,1,0.5,outputs/sanitised_adapters/top1_gamma_0.50,outputs/sanitised_adapters/top1_gamma_0.50/adapter_config.json,outputs/sanitised_adapters/top1_gamma_0.50/adapter_model.safetensors,outputs/sanitised_adapters/top1_gamma_0.50/sanitisation_report.json,224,224,[8],0.7182627704792789,0.4424656012561172,0.902278570458293,0.8072025664150715,0.46194572480436624,0.6950008891495588,2.8376760619534447,4.511723612243676,0,224,,[],[]
top3_gamma_0.0,3,0.0,outputs/sanitised_adapters/top3_gamma_0.0,outputs/sanitised_adapters/top3_gamma_0.0/adapter_config.json,outputs/sanitised_adapters/top3_gamma_0.0/adapter_model.safetensors,outputs/sanitised_adapters/top3_gamma_0.0/sanitisation_report.json,224,224,[8],0.7182627704792789,0.0,0.902278570458293,0.0,0.46194572480436624,0.7255996461207764,2.8376760619534447,4.5310702936138645,0,224,,[],[]
top3_gamma_0.25,3,0.25,outputs/sanitised_adapters/top3_gamma_0.25,outputs/sanitised_adapters/top3_gamma_0.25/adapter_config.json,outputs/sanitised_adapters/top3_gamma_0.25/adapter_model.safetensors,outputs/sanitised_adapters/top3_gamma_0.25/sanitisation_report.json,224,224,[8],0.7182627704792789,0.3644224485116346,0.902278570458293,0.43586215659576866,0.46194572480436624,0.800115547203492,2.8376760619534447,5.553185359934749,0,224,,[],[]
top3_gamma_0.50,3,0.5,outputs/sanitised_adapters/top3_gamma_0.50,outputs/sanitised_adapters/top3_gamma_0.50/adapter_config.json,outputs/sanitised_adapters/top3_gamma_0.50/adapter_model.safetensors,outputs/sanitised_adapters/top3_gamma_0.50/sanitisation_report.json,224,224,[8],0.7182627704792789,0.5828960756771266,0.902278570458293,0.7191515312130962,0.46194572480436624,0.6492883799486644,2.8376760619534447,4.257337294069483,0,224,,[],[]
