module_name,layer_id,target_module,component_index,singular_value,spectral_energy_share,A_key,B_key,rank,selection_reason
base_model.model.model.layers.19.mlp.gate_proj,19,gate_proj,0,1.7718017101287842,0.9698723990019487,base_model.model.model.layers.19.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.19.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.19.mlp.gate_proj,19,gate_proj,1,0.19976402819156647,0.012328747012069605,base_model.model.model.layers.19.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.19.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.19.mlp.gate_proj,19,gate_proj,2,0.14785952866077423,0.00675434130099081,base_model.model.model.layers.19.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.19.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.29.mlp.up_proj,29,up_proj,0,1.4233812093734741,0.9687820766824906,base_model.model.model.layers.29.mlp.up_proj.lora_A.weight,base_model.model.model.layers.29.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.29.mlp.up_proj,29,up_proj,1,0.13631881773471832,0.008885773948040465,base_model.model.model.layers.29.mlp.up_proj.lora_A.weight,base_model.model.model.layers.29.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.29.mlp.up_proj,29,up_proj,2,0.11440283060073853,0.0062583115465828796,base_model.model.model.layers.29.mlp.up_proj.lora_A.weight,base_model.model.model.layers.29.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.31.mlp.gate_proj,31,gate_proj,0,1.484015703201294,0.963837111313264,base_model.model.model.layers.31.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.31.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.31.mlp.gate_proj,31,gate_proj,1,0.21742504835128784,0.020689300233346457,base_model.model.model.layers.31.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.31.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.31.mlp.gate_proj,31,gate_proj,2,0.10470101982355118,0.004797649039570621,base_model.model.model.layers.31.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.31.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.18.mlp.up_proj,18,up_proj,0,1.3524434566497803,0.9603900084896025,base_model.model.model.layers.18.mlp.up_proj.lora_A.weight,base_model.model.model.layers.18.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.18.mlp.up_proj,18,up_proj,1,0.19702525436878204,0.02038230015500119,base_model.model.model.layers.18.mlp.up_proj.lora_A.weight,base_model.model.model.layers.18.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.18.mlp.up_proj,18,up_proj,2,0.1007719486951828,0.005331982469426483,base_model.model.model.layers.18.mlp.up_proj.lora_A.weight,base_model.model.model.layers.18.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.29.mlp.gate_proj,29,gate_proj,0,1.914446473121643,0.9575005875034905,base_model.model.model.layers.29.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.29.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.29.mlp.gate_proj,29,gate_proj,1,0.2932612895965576,0.022467878813282313,base_model.model.model.layers.29.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.29.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
