repo_id,comparison_only,metadata_reachable,snapshot_path,adapter_config_exists,adapter_model_safetensors_exists,adapter_model_bin_exists,bin_inspected_weights_only,bin_can_be_read_safely,can_weights_be_read_safely,peft_type,task_type,base_model_name_or_path,base_model_compatible,r,lora_alpha,lora_dropout,target_modules,tensor_count,lora_A_count,lora_B_count,complete_pair_count,incomplete_pair_count,unique_ranks,dtypes,target_module_hints,target_overlap,target_overlap_count,full_required_target_overlap,safety_notes,structural_suitability_score,loaded_from_existing_log
manojpatil/llama-2-7b-chat-lora-adaptor,False,True,/home/huggingface/hub/models--manojpatil--llama-2-7b-chat-lora-adaptor/snapshots/713d3144ce65c9164dc0ab8da819a31c8042aee2,True,False,True,True,True,True,LORA,CAUSAL_LM,NousResearch/Llama-2-7b-chat-hf,True,64,16,0.1,"q_proj,v_proj",128,64,64,64,0,64,torch.float32,"q_proj,v_proj","q_proj,v_proj",2,False,adapter_model.bin inspected with weights_only=True | weights_only=True load ok | normal torch.load was not used,14,
Luciano/lora-4bit-Llama-2-7b-chat-hf-lener_br,False,True,/home/huggingface/hub/models--Luciano--lora-4bit-Llama-2-7b-chat-hf-lener_br/snapshots/00fecc83927f00b7333f97ca633f009d4459e527,True,False,True,True,True,True,LORA,CAUSAL_LM,meta-llama/Llama-2-7b-chat-hf,True,8,16,0.05,"q_proj,v_proj",128,64,64,64,0,8,torch.float32,"q_proj,v_proj","q_proj,v_proj",2,False,adapter_model.bin inspected with weights_only=True | weights_only=True load ok | normal torch.load was not used,16,
FlagAlpha/Llama2-Chinese-7b-Chat-LoRA,True,True,/home/huggingface/hub/models--FlagAlpha--Llama2-Chinese-7b-Chat-LoRA/snapshots/9f68976884134bdc3d03620e6d3e42886d9c0561,True,False,True,True,True,True,LORA,CAUSAL_LM,meta-llama/Llama-2-7b-chat-hf,True,8,32,0.05,"q_proj,k_proj,v_proj,o_proj,down_proj,gate_proj,up_proj",448,224,224,224,0,8,torch.bfloat16,"down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj","down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj",7,True,adapter_model.bin inspected with weights_only=True | weights_only=True load ok | normal torch.load was not used,18,logs/flagalpha_clean_adapter_inspection_20260517T152925Z.json
