variant_name,passed,adapter_config_exists,adapter_model_exists,sanitisation_report_exists,config_ok,tensor_count,lora_A_count,lora_B_count,complete_pair_count,incomplete_pair_count,unique_ranks,target_module_hints,all_required_target_modules_exist,all_finite,shapes_match_original,report_ok,selected_component_count,selected_module_count,modules_edited,gamma,warnings,errors
sensaware_top128_gamma_0.50,True,True,True,True,True,448,224,224,224,0,[8],"[""down_proj"", ""gate_proj"", ""k_proj"", ""o_proj"", ""q_proj"", ""up_proj"", ""v_proj""]",True,True,True,True,128,128,128,0.5,[],[]
sensaware_top128_gamma_0.25,True,True,True,True,True,448,224,224,224,0,[8],"[""down_proj"", ""gate_proj"", ""k_proj"", ""o_proj"", ""q_proj"", ""up_proj"", ""v_proj""]",True,True,True,True,128,128,128,0.25,[],[]
sensaware_top224_gamma_0.50,True,True,True,True,True,448,224,224,224,0,[8],"[""down_proj"", ""gate_proj"", ""k_proj"", ""o_proj"", ""q_proj"", ""up_proj"", ""v_proj""]",True,True,True,True,224,221,221,0.5,[],[]
sensaware_top224_gamma_0.25,True,True,True,True,True,448,224,224,224,0,[8],"[""down_proj"", ""gate_proj"", ""k_proj"", ""o_proj"", ""q_proj"", ""up_proj"", ""v_proj""]",True,True,True,True,224,221,221,0.25,[],[]
sensaware_top336_gamma_0.50,True,True,True,True,True,448,224,224,224,0,[8],"[""down_proj"", ""gate_proj"", ""k_proj"", ""o_proj"", ""q_proj"", ""up_proj"", ""v_proj""]",True,True,True,True,336,223,223,0.5,[],[]
