module_name,layer_id,target_module,component_index,singular_value,spectral_energy_share,clean_sensitivity_raw,clean_sensitivity_norm_global,clean_sensitivity_norm_by_module,suspiciousness_score_prelim,prompt_count_used,token_count_used,notes,A_key,B_key
base_model.model.model.layers.29.mlp.gate_proj,29,gate_proj,1,0.29326120018959045,0.02246786281466484,0.03459614644047097,0.0005610645788284135,0.0008275348009440819,0.022455256892677557,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.29.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.29.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.31.mlp.gate_proj,31,gate_proj,1,0.21742506325244904,0.020689301192760468,0.012898117803420886,0.00020917581226879224,0.0004659378937274298,0.020684973491378197,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.31.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.31.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.26.mlp.gate_proj,26,gate_proj,1,0.2906411588191986,0.020528199151158333,0.028416258011420805,0.0004608419570801279,0.0010237816497400802,0.02051873889568618,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.26.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.26.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.18.mlp.up_proj,18,up_proj,1,0.19702523946762085,0.02038230374455452,0.009627891253053996,0.00015614076441130268,0.003734410338189736,0.02037912123606738,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.18.mlp.up_proj.lora_A.weight,base_model.model.model.layers.18.mlp.up_proj.lora_B.weight
base_model.model.model.layers.25.mlp.gate_proj,25,gate_proj,1,0.25199922919273376,0.016933446750044823,0.02033879560301861,0.0003298453429927578,0.0011073551760660415,0.016927861331493505,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.25.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.25.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.19.mlp.gate_proj,19,gate_proj,1,0.19976405799388885,0.012328745797276497,0.00906727602884225,0.0001470489615078092,0.001249440619633342,0.012326932868010313,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.19.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.19.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.16.mlp.gate_proj,16,gate_proj,1,0.19302354753017426,0.01206459105014801,0.004140487382090629,6.71485424879423e-05,0.0012566490072504568,0.01206378093044328,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.16.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.16.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.25.mlp.gate_proj,25,gate_proj,2,0.21147821843624115,0.011925545521080494,0.008051193655842346,0.00013057059939765027,0.00043835097919878234,0.011923988395453663,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.25.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.25.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.27.mlp.gate_proj,27,gate_proj,1,0.21000103652477264,0.011671127751469612,0.009495922626883362,0.0001540005572125502,0.0003171068449638471,0.011669330391292587,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.27.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.27.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.21.mlp.gate_proj,21,gate_proj,1,0.2008235603570938,0.01092874351888895,0.009194126055749423,0.00014910615759013902,0.0009987579291542892,0.01092711397593556,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.21.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.21.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.26.mlp.gate_proj,26,gate_proj,2,0.2089332491159439,0.010608444921672344,0.008574535416340165,0.0001390579182076302,0.0003089235750452196,0.010606969733406116,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.26.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.26.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.29.mlp.gate_proj,29,gate_proj,2,0.1996619999408722,0.01041461806744337,0.027222989516226592,0.0004414900709723108,0.0006511699575898407,0.010410020116973626,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.29.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.29.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.28.mlp.up_proj,28,up_proj,1,0.15400636196136475,0.009796176105737686,0.00718347263750287,0.00011649829430630403,0.0003709786676656637,0.009795034867930643,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.28.mlp.up_proj.lora_A.weight,base_model.model.model.layers.28.mlp.up_proj.lora_B.weight
base_model.model.model.layers.31.self_attn.q_proj,31,q_proj,1,0.08694495260715485,0.009507623501121998,0.0031356606510924826,5.08527192640153e-05,0.0005925858268346686,0.009507140012613227,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.31.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.31.self_attn.q_proj.lora_B.weight
base_model.model.model.layers.29.mlp.up_proj,29,up_proj,1,0.13631881773471832,0.00888577289879322,0.003308101287340266,5.3649283127442776e-05,0.0001943681981570167,0.008885296183447166,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.29.mlp.up_proj.lora_A.weight,base_model.model.model.layers.29.mlp.up_proj.lora_B.weight
