variant_name,selected_component_count,selected_module_count,gamma,output_dir,adapter_config_path,adapter_model_path,sanitisation_report_path,modules_edited,tensor_count,complete_ab_pairs,rank_values,all_finite,warnings,errors
sensaware_top128_gamma_0.50,128,128,0.5,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top128_gamma_0.50,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top128_gamma_0.50/adapter_config.json,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top128_gamma_0.50/adapter_model.safetensors,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top128_gamma_0.50/sanitisation_report.json,128,448,224,[8],True,,
sensaware_top128_gamma_0.25,128,128,0.25,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top128_gamma_0.25,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top128_gamma_0.25/adapter_config.json,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top128_gamma_0.25/adapter_model.safetensors,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top128_gamma_0.25/sanitisation_report.json,128,448,224,[8],True,,
sensaware_top224_gamma_0.50,224,221,0.5,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top224_gamma_0.50,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top224_gamma_0.50/adapter_config.json,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top224_gamma_0.50/adapter_model.safetensors,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top224_gamma_0.50/sanitisation_report.json,221,448,224,[8],True,,
sensaware_top224_gamma_0.25,224,221,0.25,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top224_gamma_0.25,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top224_gamma_0.25/adapter_config.json,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top224_gamma_0.25/adapter_model.safetensors,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top224_gamma_0.25/sanitisation_report.json,221,448,224,[8],True,,
sensaware_top336_gamma_0.50,336,223,0.5,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top336_gamma_0.50,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top336_gamma_0.50/adapter_config.json,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top336_gamma_0.50/adapter_model.safetensors,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top336_gamma_0.50/sanitisation_report.json,223,448,224,[8],True,,
