adapter,condition,condition_role,adapter_path,clean_records,completed_records,failed_records,oom_count,total_reference_tokens,mean_token_nll_weighted,perplexity,mean_record_token_nll,median_record_token_nll,std_record_token_nll,mean_total_nll,clean_metric_label,is_final_clean_utility,notes
base_model_only,base_model_only,no_adapter_control,,0,0,1,0,0,,,,,,,reference-output NLL/perplexity probe,False,Clean-reference likelihood probe only; not final human utility. Nearly identical perplexity should be interpreted as small measurable clean-task LoRA footprint.
original,original,adapter,/home/43e3/hf-cache-aisp/models--BackdoorLLM--Jailbreak_Llama2-7B_BadNets/snapshots/408295cd17df70e5164e7692e2aa3c5b9e2e4f3b,0,0,1,0,0,,,,,,,reference-output NLL/perplexity probe,False,Clean-reference likelihood probe only; not final human utility. Nearly identical perplexity should be interpreted as small measurable clean-task LoRA footprint.
uniform_gamma_0.25,uniform_gamma_0.25,adapter,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/uniform_gamma_0.25,0,0,1,0,0,,,,,,,reference-output NLL/perplexity probe,False,Clean-reference likelihood probe only; not final human utility. Nearly identical perplexity should be interpreted as small measurable clean-task LoRA footprint.
uniform_gamma_0.50,uniform_gamma_0.50,adapter,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/uniform_gamma_0.50,0,0,1,0,0,,,,,,,reference-output NLL/perplexity probe,False,Clean-reference likelihood probe only; not final human utility. Nearly identical perplexity should be interpreted as small measurable clean-task LoRA footprint.
top3_gamma_0.50,top3_gamma_0.50,adapter,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/top3_gamma_0.50,0,0,1,0,0,,,,,,,reference-output NLL/perplexity probe,False,Clean-reference likelihood probe only; not final human utility. Nearly identical perplexity should be interpreted as small measurable clean-task LoRA footprint.
sensaware_top224_gamma_0.25,sensaware_top224_gamma_0.25,adapter,/home/43e3/solr-home/AISP-Project-CODEX/outputs/sanitised_adapters/sensaware_top224_gamma_0.25,0,0,1,0,0,,,,,,,reference-output NLL/perplexity probe,False,Clean-reference likelihood probe only; not final human utility. Nearly identical perplexity should be interpreted as small measurable clean-task LoRA footprint.
